	Current Ratio	Quick Ratio	Cash Ratio	Working Capital / Total Assets	Operating Cash Flow per Share	Free Cash Flow Per Share	CFO / Sales	Free Cash Flow (FCF) /Sales	CFO / Total Assets	FCF / Current Liabilities	Debt Ratio	Debt to Equity Ratio	Debt to Capital Ratio	Times Interest Earned Ratio	Equity Multiplier	Retained Earnings / Current Liabilities	Equity/Total Asset	Equity/Fixed Asset	Interest Expense / Debt	Receivables Turnover	Days' Sales Outstanding (DSO) Ratio	Payables Turnover Ratio	Days Payable Outstanding	Fixed Asset Turnover	Sales/Total Asset	Sales Growth	Asset Turnover Ratio	Net Profit Margin	Gross Profit Margin	Operating Margin Ratio	Return on Assets	Return on Equity	Earning Per Share	EBITDA/Total Asset	Equity Growth	Price to Book Ratio	Dividend Yield Ratio	Bankruptcy Status
25	0.1	0.1	0.0	-0.6	0.6	-3.8	0.2	-1.3	0.1	-0.7	0.6	-29.4	103.5	-0.1	19.5	-1.6	0.2	0.2	0.1	5.8	47.0	7.8	47.0	0.4	0.4	90.7	0.4	-298.2	28.5	-1.1	-125.4	-2449.9	-8.5	0.1	-119.0	21.632868757259	0.0	0
26	0.4	0.4	0.3	-0.3	1.2	-0.1	1.1	-0.1	0.3	0.0	0.2	0.5	34.3	-0.3	2.2	-0.4	0.5	0.6	0.1	5.5	350.2	1.0	350.2	0.3	0.3	141.3	0.3	60.6	34.7	-3.9	18.0	39.7	0.7	0.1	57.1	1.2	0.0	0
27	3.3	3.3	2.2	0.1	-3.0	-3.0	-19.565993359158828	-32.69792949076665	-0.5	-11.0	0.0	0.0	0.0	-338.1754049676026	1.1	-19.4	0.9	1630.9962892933127	0.2892128279883382	0.0	9834.716596343178	0.0	9834.716596343178	0.0	0.0	6444.342596291013	0.0	-7771.194224422443	-2438.221640735502	-6362.465107319758	-126.2	-133.5	-4.5	-51.02872928176796	232.8	4.2	0.0	0
28	0.1	0.1	0.00015063204770804361	-1.499849367952292	0.00015063204770804361	-0.00030126409541608723	-0.6984936795229195	-0.7992468397614598	-0.19954810385687588	-0.1	0.8004518961431242	-0.600150632047708	77.5345696969697	-6.093522821948553	11.087814455778126	-10.887949436183355	-1.4	-1.8	0.1	1.4194315341543375	673.0477109997672	0.5001506320477079	673.0477109997672	0.10045189614312414	0.30015063204770803	-46.9838626912171	0.10045189614312414	-1101.3649284814853	-67.86173945988216	-138.07226402354357	-122.40013095236955	-1357.8922805656653	-0.10090379228624828	-0.19969873590458392	-174.12978578608988	21.632868757259	0.0	1
29	0.3	0.3	0.1	-0.3	0.1	-0.1	0.2	-0.1	0.1	-0.1	0.2	0.5	31.2	2.9	2.2	-0.6	0.5	0.6	0.1	5.9	167.0	2.2	167.0	0.4	0.4	-2.9	0.4	16.2	35.7	15.0	7.1	15.8	0.1	0.2	17.2	0.5	0.0	0
30	1.5	0.8	0.3	0.1	10.4	5.2	0.0	0.0	0.1	0.2	0.3	1.0	48.9	4.5	3.4	1.3	0.4	0.8	0.1	29.6	23.7	15.4	23.7	2.7	2.4	8.0	2.7	2.1	3.7	2.9	5.8	19.9	6.4	0.1	3.5	2.1	1.5	0
31	0.8	0.8	0.1	0.0	3.0	-2.7	0.6	-0.6	0.2	-0.9	0.2	0.5	35.2	11.5	2.7	1.1	0.4	0.5	0.1	2.7	261.5	1.4	261.5	0.4	0.3	73.2	0.4	25.5	56.6	52.5	9.1	24.4	1.2	0.2	91.0	5.2	0.0	0
32	0.0	0.0	0.0	-2.9	-0.4	-0.4	-19.565993359158828	-32.69792949076665	-1.7	-0.6	0.4	-0.2	77.5345696969697	-42.7	3.01039064576136	-31.0	-1.9	1630.9962892933127	0.4	0.0	9834.716596343178	0.0	9834.716596343178	0.0	0.0	6444.342596291013	0.0	-7771.194224422443	-2438.221640735502	-6362.465107319758	-733.2	-93.32353409392412	-1.8	-6.6	-442.5	21.632868757259	0.0	0
33	0.9	0.9	0.1	0.0	0.5	0.3	0.6	0.4	0.2	0.8	0.0	0.0	3.4	11.4	1.6	-4.0	0.6	0.9	0.6	5.5	96.3	3.8	96.3	0.6	0.4	265.4	0.6	15.4	39.1	32.7	9.2	14.8	0.1	0.3	71.3	0.7	0.0	0
34	0.3	0.3	0.0	-0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.2	14.7	-7.6	2.3	-5.8	0.5	0.6	0.2	5.0	49.0	7.5	49.0	0.1	0.2	-40.1	0.1	-76.3	-66.8	-85.5	-11.2	-26.1	-0.1	0.0	13.3	0.7	0.0	0
35	0.0	0.0	0.0	-11.1	0.0	0.0	0.1	0.1	0.1	0.0	8.0	-0.6	77.5345696969697	0.1	3.01039064576136	-3.1	-12.6	-21.5	0.3	2.2	494.2	0.7	494.2	0.6	0.7	6.7	0.6	-291.1	35.2	33.6	-187.7	-93.32353409392412	-0.2	0.3	-19.0	21.632868757259	0.0	0
36	1.4	1.4	0.2	0.0	0.6	-1.8	0.3	-1.1	0.0	-8.5	0.2	0.5	31.1	-5.5	1.7	12.8	0.5	0.6	0.0	6.2	43.8	8.3	43.8	0.2	0.1	-16.1	0.2	-10.1	20.6	-16.0	-1.5	-2.6	-0.2	0.0	-1.4	0.9	0.0	0
37	1.0	1.0	0.5	0.0	0.7	-0.8	0.2	-0.2	0.0	-0.4	0.2	0.4	27.0	-1.3	1.8	-18.4	0.6	0.6	0.1	4.5	62.2	5.9	62.2	0.2	0.2	-2.9	0.2	-17.2	-5.9	-15.8	-3.4	-6.2	-0.6	0.1	6.1	0.1	0.0	0
38	1.3	1.3	0.8	0.0	3.3	-0.3	0.4	0.0	0.1	-0.1	0.3	0.8	43.2	-3.7	2.3	2.4	0.4	0.5	0.0	6.4	76.7	4.8	76.7	0.1	0.2	11.4	0.1	-29.4	-31.7	-45.1	-4.3	-10.2	-2.3	0.1	-10.4	1.8	1.1	0
39	0.8	0.6	0.2	0.0	-2365045.15043004	-11246829.348105894	0.4	0.0	0.1	0.2	0.4	0.9	46.3	4.3	3.01039064576136	0.0	0.5	0.5	0.0	8.219110189027202	9834.716596343178	12.351197053406999	9834.716596343178	0.35570269115762504	0.3	12.9	0.35570269115762504	1.7	44.9	30.1	-6936.613843195899	-93.32353409392412	-7716841.587178422	0.1	8819225.18431286	21.632868757259	2.6825144175317193	0
40	0.1	0.1	0.1	-2.0	0.0	-0.4	0.0	-0.4	0.0	-0.1	2.0	-1.5	311.5	-1.2	3.01039064576136	-1.6	-1.4	-2.0	0.1	5.9	9834.716596343178	12.351197053406999	9834.716596343178	0.2	0.4	-41.4	0.2	-701.5	-32.9	-52.9	-117.7	-93.32353409392412	-7.6	0.1	-210.7	21.632868757259	0.0	0
41	0.4	0.4	0.0	-0.1	0.9	-0.5	0.6	-0.3	0.1	-0.6	0.1	0.1	7.0	25.0	1.4	0.1	0.7	0.8	0.0	7.7	167.1	2.2	167.1	0.3	0.2	361.8	0.3	5.7	17.8	11.0	1.5	2.1	0.1	0.1	57.7	1.4	0.0	0
42	0.3	0.3	0.0	0.0	3.5	1.1	0.6	0.2	0.1	0.9	0.3	0.7	39.9	1.6	2.2	-7.4	0.4	0.5	0.0	14.1	37.8	9.7	37.8	0.2	0.2	5.9	0.2	3.6	17.5	12.5	0.6	1.4	0.2	0.1	-5.2	0.4	17.2	0
